k_pv_factor,k_w_factor,storage_capacity
20.0,20.0,468.75
20.0,18.0,468.75
20.0,16.0,468.75
20.0,14.0,546.875
20.0,12.0,546.875
20.0,10.0,546.875
20.0,8.0,625.0
20.0,6.0,703.125
20.0,4.0,1171.875
20.0,2.0,1718.75
18.0,20.0,468.75
18.0,18.0,468.75
18.0,16.0,468.75
18.0,14.0,546.875
18.0,12.0,546.875
18.0,10.0,625.0
18.0,8.0,703.125
18.0,6.0,937.5
18.0,4.0,1328.125
18.0,2.0,2109.375
16.0,20.0,468.75
16.0,18.0,468.75
16.0,16.0,546.875
16.0,14.0,546.875
16.0,12.0,625.0
16.0,10.0,703.125
16.0,8.0,781.25
16.0,6.0,1171.875
16.0,4.0,1718.75
16.0,2.0,2812.5
14.0,20.0,468.75
14.0,18.0,468.75
14.0,16.0,546.875
14.0,14.0,625.0
14.0,12.0,703.125
14.0,10.0,781.25
14.0,8.0,1015.625
14.0,6.0,1640.625
14.0,4.0,2578.125
14.0,2.0,4921.875
12.0,20.0,625.0
12.0,18.0,703.125
12.0,16.0,781.25
12.0,14.0,781.25
12.0,12.0,937.5
12.0,10.0,1250.0
12.0,8.0,1796.875
12.0,6.0,2656.25
12.0,4.0,4296.875
12.0,2.0,7968.75
10.0,20.0,859.375
10.0,18.0,937.5
10.0,16.0,1015.625
10.0,14.0,1171.875
10.0,12.0,1562.5
10.0,10.0,2109.375
10.0,8.0,2812.5
10.0,6.0,4062.5
10.0,4.0,6484.375
8.0,20.0,1250.0
8.0,18.0,1406.25
8.0,16.0,1562.5
8.0,14.0,1875.0
8.0,12.0,2421.875
8.0,10.0,3125.0
8.0,8.0,3984.375
8.0,6.0,5859.375
6.0,20.0,1875.0
6.0,18.0,2031.25
6.0,16.0,2265.625
6.0,14.0,2812.5
6.0,12.0,3359.375
6.0,10.0,4218.75
6.0,8.0,5781.25
6.0,6.0,9296.875
4.0,20.0,2500.0
4.0,18.0,2656.25
4.0,16.0,3203.125
4.0,14.0,3750.0
4.0,12.0,4531.25
4.0,10.0,5859.375
4.0,8.0,8671.875
2.0,20.0,3203.125
2.0,18.0,3671.875
2.0,16.0,4218.75
2.0,14.0,4921.875
2.0,12.0,6093.75
2.0,10.0,8515.625
