Date,Consumption
31/12/2025 23:45:00,26.823
31/12/2025 23:30:00,27.180
31/12/2025 23:15:00,27.607
31/12/2025 23:00:00,28.020
31/12/2025 22:45:00,28.419
31/12/2025 22:30:00,28.888
31/12/2025 22:15:00,29.287
31/12/2025 22:00:00,29.715
31/12/2025 21:45:00,30.179
31/12/2025 21:30:00,30.702
31/12/2025 21:15:00,31.453
31/12/2025 21:00:00,32.107
31/12/2025 20:45:00,32.957
31/12/2025 20:30:00,33.758
31/12/2025 20:15:00,34.651
31/12/2025 20:00:00,35.484
31/12/2025 19:45:00,36.190
31/12/2025 19:30:00,36.799
31/12/2025 19:15:00,37.316
31/12/2025 19:00:00,37.704
31/12/2025 18:45:00,37.972
31/12/2025 18:30:00,38.058
31/12/2025 18:15:00,38.266
31/12/2025 18:00:00,38.306
31/12/2025 17:45:00,38.324
31/12/2025 17:30:00,38.181
31/12/2025 17:15:00,37.966
31/12/2025 17:00:00,37.267
31/12/2025 16:45:00,35.983
31/12/2025 16:30:00,34.670
31/12/2025 16:15:00,34.118
31/12/2025 16:00:00,33.829
31/12/2025 15:45:00,33.410
31/12/2025 15:30:00,33.151
31/12/2025 15:15:00,32.998
31/12/2025 15:00:00,32.978
31/12/2025 14:45:00,32.786
31/12/2025 14:30:00,32.452
31/12/2025 14:15:00,32.328
31/12/2025 14:00:00,32.476
31/12/2025 13:45:00,32.988
31/12/2025 13:30:00,33.594
31/12/2025 13:15:00,33.706
31/12/2025 13:00:00,34.077
31/12/2025 12:45:00,34.455
31/12/2025 12:30:00,34.912
31/12/2025 12:15:00,35.212
31/12/2025 12:00:00,35.305
31/12/2025 11:45:00,35.442
31/12/2025 11:30:00,35.839
31/12/2025 11:15:00,35.990
31/12/2025 11:00:00,35.810
31/12/2025 10:45:00,35.555
31/12/2025 10:30:00,35.778
31/12/2025 10:15:00,35.673
31/12/2025 10:00:00,35.782
31/12/2025 09:45:00,35.928
31/12/2025 09:30:00,35.844
31/12/2025 09:15:00,35.441
31/12/2025 09:00:00,34.875
31/12/2025 08:45:00,34.055
31/12/2025 08:30:00,33.389
31/12/2025 08:15:00,32.620
31/12/2025 08:00:00,31.762
31/12/2025 07:45:00,30.995
31/12/2025 07:30:00,30.579
31/12/2025 07:15:00,29.956
31/12/2025 07:00:00,29.056
31/12/2025 06:45:00,28.212
31/12/2025 06:30:00,27.469
31/12/2025 06:15:00,26.544
31/12/2025 06:00:00,25.751
31/12/2025 05:45:00,24.384
31/12/2025 05:30:00,23.583
31/12/2025 05:15:00,23.064
31/12/2025 05:00:00,22.785
31/12/2025 04:45:00,22.357
31/12/2025 04:30:00,21.977
31/12/2025 04:15:00,21.614
31/12/2025 04:00:00,21.755
31/12/2025 03:45:00,21.703
31/12/2025 03:30:00,21.637
31/12/2025 03:15:00,21.830
31/12/2025 03:00:00,21.925
31/12/2025 02:45:00,21.900
31/12/2025 02:30:00,22.037
31/12/2025 02:15:00,22.301
31/12/2025 02:00:00,22.497
31/12/2025 01:45:00,22.534
31/12/2025 01:30:00,23.085
31/12/2025 01:15:00,23.412
31/12/2025 01:00:00,23.676
31/12/2025 00:45:00,24.064
31/12/2025 00:30:00,24.838
31/12/2025 00:15:00,25.255
31/12/2025 00:00:00,26.062
30/12/2025 23:45:00,27.506
30/12/2025 23:30:00,28.290
30/12/2025 23:15:00,28.856
30/12/2025 23:00:00,29.820
30/12/2025 22:45:00,30.701
30/12/2025 22:30:00,31.473
30/12/2025 22:15:00,32.332
30/12/2025 22:00:00,33.207
30/12/2025 21:45:00,34.092
30/12/2025 21:30:00,34.761
30/12/2025 21:15:00,35.545
30/12/2025 21:00:00,36.441
30/12/2025 20:45:00,37.542
30/12/2025 20:30:00,38.366
30/12/2025 20:15:00,38.909
30/12/2025 20:00:00,39.324
30/12/2025 19:45:00,40.098
30/12/2025 19:30:00,40.294
30/12/2025 19:15:00,40.610
30/12/2025 19:00:00,40.777
30/12/2025 18:45:00,40.628
30/12/2025 18:30:00,40.527
30/12/2025 18:15:00,40.541
30/12/2025 18:00:00,40.513
30/12/2025 17:45:00,40.506
30/12/2025 17:30:00,40.554
30/12/2025 17:15:00,40.462
30/12/2025 17:00:00,40.024
30/12/2025 16:45:00,39.138
30/12/2025 16:30:00,38.098
30/12/2025 16:15:00,37.718
30/12/2025 16:00:00,37.417
30/12/2025 15:45:00,37.234
30/12/2025 15:30:00,37.219
30/12/2025 15:15:00,37.202
30/12/2025 15:00:00,37.175
30/12/2025 14:45:00,37.188
30/12/2025 14:30:00,37.303
30/12/2025 14:15:00,37.365
30/12/2025 14:00:00,37.437
30/12/2025 13:45:00,37.544
30/12/2025 13:30:00,37.968
30/12/2025 13:15:00,38.340
30/12/2025 13:00:00,38.653
30/12/2025 12:45:00,38.948
30/12/2025 12:30:00,39.404
30/12/2025 12:15:00,39.662
30/12/2025 12:00:00,39.775
30/12/2025 11:45:00,40.125
30/12/2025 11:30:00,40.240
30/12/2025 11:15:00,40.264
30/12/2025 11:00:00,40.239
30/12/2025 10:45:00,39.847
30/12/2025 10:30:00,39.780
30/12/2025 10:15:00,39.770
30/12/2025 10:00:00,39.797
30/12/2025 09:45:00,39.803
30/12/2025 09:30:00,39.633
30/12/2025 09:15:00,39.447
30/12/2025 09:00:00,39.051
30/12/2025 08:45:00,38.219
30/12/2025 08:30:00,37.557
30/12/2025 08:15:00,36.670
30/12/2025 08:00:00,35.488
30/12/2025 07:45:00,34.290
30/12/2025 07:30:00,33.481
30/12/2025 07:15:00,32.590
30/12/2025 07:00:00,31.490
30/12/2025 06:45:00,30.098
30/12/2025 06:30:00,28.942
30/12/2025 06:15:00,27.814
30/12/2025 06:00:00,27.027
30/12/2025 05:45:00,25.505
30/12/2025 05:30:00,24.528
30/12/2025 05:15:00,24.034
30/12/2025 05:00:00,23.677
30/12/2025 04:45:00,23.005
30/12/2025 04:30:00,22.664
30/12/2025 04:15:00,22.576
30/12/2025 04:00:00,22.444
30/12/2025 03:45:00,22.190
30/12/2025 03:30:00,22.217
30/12/2025 03:15:00,22.191
30/12/2025 03:00:00,22.218
30/12/2025 02:45:00,22.312
30/12/2025 02:30:00,22.345
30/12/2025 02:15:00,22.427
30/12/2025 02:00:00,22.672
30/12/2025 01:45:00,22.821
30/12/2025 01:30:00,23.025
30/12/2025 01:15:00,23.271
30/12/2025 01:00:00,23.745
30/12/2025 00:45:00,23.993
30/12/2025 00:30:00,24.387
30/12/2025 00:15:00,25.035
30/12/2025 00:00:00,25.625
29/12/2025 23:45:00,27.130
29/12/2025 23:30:00,27.846
29/12/2025 23:15:00,28.486
29/12/2025 23:00:00,29.332
29/12/2025 22:45:00,30.198
29/12/2025 22:30:00,31.141
29/12/2025 22:15:00,31.839
29/12/2025 22:00:00,32.661
29/12/2025 21:45:00,33.718
29/12/2025 21:30:00,34.659
29/12/2025 21:15:00,35.319
29/12/2025 21:00:00,36.067
29/12/2025 20:45:00,36.709
29/12/2025 20:30:00,37.580
29/12/2025 20:15:00,38.213
29/12/2025 20:00:00,38.768
29/12/2025 19:45:00,39.504
29/12/2025 19:30:00,40.053
29/12/2025 19:15:00,40.250
29/12/2025 19:00:00,40.270
29/12/2025 18:45:00,40.285
29/12/2025 18:30:00,40.216
29/12/2025 18:15:00,40.064
29/12/2025 18:00:00,40.025
29/12/2025 17:45:00,40.274
29/12/2025 17:30:00,40.291
29/12/2025 17:15:00,40.206
29/12/2025 17:00:00,39.651
29/12/2025 16:45:00,38.814
29/12/2025 16:30:00,37.772
29/12/2025 16:15:00,37.349
29/12/2025 16:00:00,36.916
29/12/2025 15:45:00,36.536
29/12/2025 15:30:00,36.305
29/12/2025 15:15:00,36.004
29/12/2025 15:00:00,35.864
29/12/2025 14:45:00,35.450
29/12/2025 14:30:00,35.484
29/12/2025 14:15:00,35.275
29/12/2025 14:00:00,35.221
29/12/2025 13:45:00,35.566
29/12/2025 13:30:00,35.961
29/12/2025 13:15:00,35.990
29/12/2025 13:00:00,36.380
29/12/2025 12:45:00,36.819
29/12/2025 12:30:00,37.027
29/12/2025 12:15:00,37.274
29/12/2025 12:00:00,37.669
29/12/2025 11:45:00,37.795
29/12/2025 11:30:00,38.107
29/12/2025 11:15:00,38.294
29/12/2025 11:00:00,37.971
29/12/2025 10:45:00,37.719
29/12/2025 10:30:00,38.121
29/12/2025 10:15:00,38.201
29/12/2025 10:00:00,38.420
29/12/2025 09:45:00,38.656
29/12/2025 09:30:00,38.804
29/12/2025 09:15:00,38.627
29/12/2025 09:00:00,38.014
29/12/2025 08:45:00,37.456
29/12/2025 08:30:00,36.588
29/12/2025 08:15:00,35.700
29/12/2025 08:00:00,34.456
29/12/2025 07:45:00,33.133
29/12/2025 07:30:00,32.299
29/12/2025 07:15:00,31.264
29/12/2025 07:00:00,30.134
29/12/2025 06:45:00,28.882
29/12/2025 06:30:00,27.873
29/12/2025 06:15:00,26.864
29/12/2025 06:00:00,25.864
29/12/2025 05:45:00,24.096
29/12/2025 05:30:00,23.073
29/12/2025 05:15:00,22.560
29/12/2025 05:00:00,22.076
29/12/2025 04:45:00,21.365
29/12/2025 04:30:00,21.144
29/12/2025 04:15:00,21.077
29/12/2025 04:00:00,20.734
29/12/2025 03:45:00,20.721
29/12/2025 03:30:00,20.765
29/12/2025 03:15:00,20.660
29/12/2025 03:00:00,20.728
29/12/2025 02:45:00,20.853
29/12/2025 02:30:00,20.783
29/12/2025 02:15:00,21.080
29/12/2025 02:00:00,21.337
29/12/2025 01:45:00,21.550
29/12/2025 01:30:00,21.620
29/12/2025 01:15:00,22.107
29/12/2025 01:00:00,22.615
29/12/2025 00:45:00,22.921
29/12/2025 00:30:00,23.585
29/12/2025 00:15:00,23.948
29/12/2025 00:00:00,24.429
28/12/2025 23:45:00,25.302
28/12/2025 23:30:00,25.970
28/12/2025 23:15:00,26.626
28/12/2025 23:00:00,27.314
28/12/2025 22:45:00,28.034
28/12/2025 22:30:00,28.705
28/12/2025 22:15:00,29.337
28/12/2025 22:00:00,29.991
28/12/2025 21:45:00,30.872
28/12/2025 21:30:00,31.598
28/12/2025 21:15:00,32.055
28/12/2025 21:00:00,32.699
28/12/2025 20:45:00,33.312
28/12/2025 20:30:00,33.552
28/12/2025 20:15:00,33.739
28/12/2025 20:00:00,34.314
28/12/2025 19:45:00,34.461
28/12/2025 19:30:00,34.471
28/12/2025 19:15:00,34.745
28/12/2025 19:00:00,34.766
28/12/2025 18:45:00,34.437
28/12/2025 18:30:00,34.307
28/12/2025 18:15:00,33.893
28/12/2025 18:00:00,33.659
28/12/2025 17:45:00,33.551
28/12/2025 17:30:00,33.264
28/12/2025 17:15:00,32.746
28/12/2025 17:00:00,32.044
28/12/2025 16:45:00,30.758
28/12/2025 16:30:00,29.849
28/12/2025 16:15:00,29.243
28/12/2025 16:00:00,28.903
28/12/2025 15:45:00,28.545
28/12/2025 15:30:00,28.104
28/12/2025 15:15:00,28.035
28/12/2025 15:00:00,28.150
28/12/2025 14:45:00,27.895
28/12/2025 14:30:00,27.804
28/12/2025 14:15:00,27.752
28/12/2025 14:00:00,27.764
28/12/2025 13:45:00,28.508
28/12/2025 13:30:00,29.307
28/12/2025 13:15:00,29.807
28/12/2025 13:00:00,30.206
28/12/2025 12:45:00,30.893
28/12/2025 12:30:00,31.144
28/12/2025 12:15:00,31.181
28/12/2025 12:00:00,31.383
28/12/2025 11:45:00,31.444
28/12/2025 11:30:00,31.175
28/12/2025 11:15:00,31.082
28/12/2025 11:00:00,30.874
28/12/2025 10:45:00,30.268
28/12/2025 10:30:00,30.192
28/12/2025 10:15:00,30.080
28/12/2025 10:00:00,30.043
28/12/2025 09:45:00,29.728
28/12/2025 09:30:00,29.348
28/12/2025 09:15:00,29.004
28/12/2025 09:00:00,28.425
28/12/2025 08:45:00,27.861
28/12/2025 08:30:00,27.208
28/12/2025 08:15:00,26.470
28/12/2025 08:00:00,25.811
28/12/2025 07:45:00,25.020
28/12/2025 07:30:00,24.780
28/12/2025 07:15:00,24.467
28/12/2025 07:00:00,24.053
28/12/2025 06:45:00,23.635
28/12/2025 06:30:00,23.226
28/12/2025 06:15:00,22.737
28/12/2025 06:00:00,22.211
28/12/2025 05:45:00,21.708
28/12/2025 05:30:00,21.304
28/12/2025 05:15:00,20.805
28/12/2025 05:00:00,20.898
28/12/2025 04:45:00,20.558
28/12/2025 04:30:00,20.305
28/12/2025 04:15:00,20.344
28/12/2025 04:00:00,20.400
28/12/2025 03:45:00,20.226
28/12/2025 03:30:00,20.225
28/12/2025 03:15:00,20.487
28/12/2025 03:00:00,20.575
28/12/2025 02:45:00,20.504
28/12/2025 02:30:00,20.778
28/12/2025 02:15:00,20.953
28/12/2025 02:00:00,21.237
28/12/2025 01:45:00,21.638
28/12/2025 01:30:00,21.934
28/12/2025 01:15:00,22.349
28/12/2025 01:00:00,22.505
28/12/2025 00:45:00,22.832
28/12/2025 00:30:00,23.290
28/12/2025 00:15:00,23.734
28/12/2025 00:00:00,24.491
27/12/2025 23:45:00,25.074
27/12/2025 23:30:00,25.552
27/12/2025 23:15:00,26.118
27/12/2025 23:00:00,27.110
27/12/2025 22:45:00,27.925
27/12/2025 22:30:00,28.528
27/12/2025 22:15:00,29.053
27/12/2025 22:00:00,29.786
27/12/2025 21:45:00,30.557
27/12/2025 21:30:00,31.113
27/12/2025 21:15:00,31.625
27/12/2025 21:00:00,32.312
27/12/2025 20:45:00,32.784
27/12/2025 20:30:00,33.429
27/12/2025 20:15:00,33.956
27/12/2025 20:00:00,34.548
27/12/2025 19:45:00,35.183
27/12/2025 19:30:00,35.439
27/12/2025 19:15:00,35.594
27/12/2025 19:00:00,35.509
27/12/2025 18:45:00,35.459
27/12/2025 18:30:00,35.156
27/12/2025 18:15:00,34.779
27/12/2025 18:00:00,34.720
27/12/2025 17:45:00,34.429
27/12/2025 17:30:00,34.294
27/12/2025 17:15:00,34.054
27/12/2025 17:00:00,33.382
27/12/2025 16:45:00,32.143
27/12/2025 16:30:00,31.170
27/12/2025 16:15:00,30.603
27/12/2025 16:00:00,30.063
27/12/2025 15:45:00,29.767
27/12/2025 15:30:00,29.469
27/12/2025 15:15:00,29.384
27/12/2025 15:00:00,29.563
27/12/2025 14:45:00,29.488
27/12/2025 14:30:00,29.302
27/12/2025 14:15:00,29.371
27/12/2025 14:00:00,29.650
27/12/2025 13:45:00,30.247
27/12/2025 13:30:00,30.804
27/12/2025 13:15:00,31.384
27/12/2025 13:00:00,31.874
27/12/2025 12:45:00,32.297
27/12/2025 12:30:00,32.278
27/12/2025 12:15:00,32.382
27/12/2025 12:00:00,32.497
27/12/2025 11:45:00,32.336
27/12/2025 11:30:00,32.623
27/12/2025 11:15:00,32.506
27/12/2025 11:00:00,31.976
27/12/2025 10:45:00,31.667
27/12/2025 10:30:00,31.862
27/12/2025 10:15:00,31.796
27/12/2025 10:00:00,31.515
27/12/2025 09:45:00,31.645
27/12/2025 09:30:00,31.404
27/12/2025 09:15:00,30.673
27/12/2025 09:00:00,30.058
27/12/2025 08:45:00,29.573
27/12/2025 08:30:00,28.867
27/12/2025 08:15:00,27.903
27/12/2025 08:00:00,27.086
27/12/2025 07:45:00,26.238
27/12/2025 07:30:00,25.778
27/12/2025 07:15:00,25.480
27/12/2025 07:00:00,24.906
27/12/2025 06:45:00,23.978
